Name,Medium,Year,Creator
"Darth Vader","Star Wars",1977,"George Lucas"
"Sauron","The Fellowship of the Ring",1954,"J.R.R. Tolkien"
"Gandalf","The Lord of the Rings",1954,"J.R.R. Tolkien"
"Yoda","Star Wars",1977,"George Lucas"
"Albus Dumbledore","Harry Potter",1997,"J.K. Rowling"
Merlin,Arthurian,1903,"Geoffrey of Monmouth"
"Harry Potter","Harry Potter",1997,"J.K. Rowling"
"Glinda the Good Witch","The Wizard of Oz",1900,"L. Frank Baum"
"Dr. Stephen Strange","Doctor Strange",1963,"Stan Lee"
"Voldemort","Harry Potter",1997,"J.K. Rowling"
